               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03447,            0.012899,            0.019183,             0.44955,             0.90909,             0.57282,             0.33452,            0.036355,           0.0052553,            0.012843,            0.007624,            0.007624,            0.007624
                  38,            0.032258,            0.013496,            0.018987,             0.44981,             0.95455,             0.57677,             0.34585,              0.0365,           0.0051927,            0.012835,            0.007558,            0.007558,            0.007558
                  39,            0.035499,             0.01224,            0.018921,                0.64,             0.59091,             0.55629,             0.31594,            0.035555,           0.0053196,            0.014678,            0.007492,            0.007492,            0.007492
                  40,            0.034701,            0.011934,            0.020958,             0.50168,             0.72727,             0.57714,             0.36657,            0.036087,           0.0052721,            0.014102,            0.007426,            0.007426,            0.007426
                  41,            0.033729,            0.011882,            0.021298,             0.60371,             0.62525,             0.58428,             0.31649,            0.039812,           0.0055272,            0.013952,             0.00736,             0.00736,             0.00736
                  42,             0.03066,            0.011926,            0.021147,             0.58765,             0.67071,             0.59783,             0.34002,            0.035031,            0.005681,            0.012953,            0.007294,            0.007294,            0.007294
                  43,            0.034532,              0.0126,            0.021548,             0.62255,              0.6596,             0.57532,             0.33785,            0.036457,           0.0057601,            0.012636,            0.007228,            0.007228,            0.007228
                  44,            0.032721,            0.011549,            0.019718,             0.55117,             0.64848,             0.55703,             0.31908,            0.028489,           0.0057237,            0.012776,            0.007162,            0.007162,            0.007162
                  45,             0.03385,             0.01232,            0.020304,             0.55768,             0.66852,             0.55388,             0.29718,            0.027629,           0.0057098,            0.012769,            0.007096,            0.007096,            0.007096
                  46,            0.032389,            0.012498,            0.022175,             0.47585,             0.88687,             0.53613,             0.28897,            0.028629,           0.0056181,            0.013147,             0.00703,             0.00703,             0.00703
                  47,            0.032629,            0.012385,            0.019153,             0.52529,             0.71616,             0.55687,             0.32801,             0.03138,           0.0054436,            0.013437,            0.006964,            0.006964,            0.006964
                  48,            0.031482,            0.012865,            0.020104,             0.51785,             0.72727,             0.55444,             0.30749,            0.030246,           0.0054006,            0.013678,            0.006898,            0.006898,            0.006898
                  49,            0.031913,            0.012112,            0.020846,             0.48648,             0.90909,               0.558,             0.31386,             0.02903,           0.0053211,            0.013545,            0.006832,            0.006832,            0.006832
                  50,            0.032828,            0.011814,            0.020679,             0.51292,             0.72443,             0.55554,             0.33028,            0.026725,           0.0053591,            0.013447,            0.006766,            0.006766,            0.006766
                  51,            0.032506,            0.011722,            0.019949,             0.47825,             0.86364,              0.5445,             0.32238,            0.027781,           0.0052434,            0.013139,              0.0067,              0.0067,              0.0067
                  52,            0.032216,            0.011557,            0.019116,             0.50938,             0.68182,             0.57212,             0.33222,             0.02571,           0.0055686,            0.013137,            0.006634,            0.006634,            0.006634
                  53,            0.032366,            0.012085,            0.018797,             0.49793,             0.72727,             0.55431,             0.30346,            0.031474,           0.0054051,            0.013063,            0.006568,            0.006568,            0.006568
                  54,            0.030124,            0.012745,            0.018679,             0.49062,             0.81578,             0.53611,             0.30595,            0.029337,           0.0054104,            0.012936,            0.006502,            0.006502,            0.006502
                  55,            0.029921,              0.0116,            0.017458,             0.53215,              0.6596,               0.548,              0.3081,            0.029706,           0.0055429,            0.013053,            0.006436,            0.006436,            0.006436
                  56,            0.030559,            0.011196,            0.020798,             0.46692,             0.79554,             0.49525,             0.28936,             0.02944,           0.0060214,            0.012838,             0.00637,             0.00637,             0.00637
                  57,            0.030403,            0.011589,            0.018461,             0.52731,              0.6596,             0.54521,             0.31021,            0.029293,            0.005545,             0.01275,            0.006304,            0.006304,            0.006304
                  58,            0.030236,            0.011185,            0.018929,             0.47304,             0.90909,             0.54496,             0.30602,            0.032795,           0.0052694,            0.012969,            0.006238,            0.006238,            0.006238
                  59,            0.030639,             0.01087,            0.017963,             0.55651,             0.67071,             0.55275,             0.30073,            0.029908,           0.0052358,            0.013398,            0.006172,            0.006172,            0.006172
                  60,            0.030218,            0.011209,            0.020239,             0.50128,             0.71461,             0.53527,              0.3253,            0.026709,           0.0052599,            0.013931,            0.006106,            0.006106,            0.006106
                  61,            0.028394,            0.011722,            0.019404,             0.54038,             0.76162,             0.60758,             0.35788,            0.027813,           0.0053854,            0.014028,             0.00604,             0.00604,             0.00604
                  62,            0.030469,            0.012649,            0.019474,             0.53037,             0.76946,             0.55396,             0.31422,            0.028316,           0.0054046,            0.013589,            0.005974,            0.005974,            0.005974
                  63,            0.031106,            0.011415,            0.018392,             0.51575,             0.81818,             0.62206,             0.38623,            0.029055,           0.0054155,            0.013372,            0.005908,            0.005908,            0.005908
                  64,             0.03107,            0.010543,            0.017791,             0.51911,             0.77273,             0.61015,             0.36048,            0.030256,           0.0056419,            0.013122,            0.005842,            0.005842,            0.005842
                  65,            0.030185,             0.01157,            0.019783,              0.5648,             0.68182,             0.58247,             0.32372,            0.030336,           0.0055332,            0.012605,            0.005776,            0.005776,            0.005776
                  66,            0.028146,            0.011369,            0.017613,             0.73615,             0.68182,             0.63865,              0.3259,             0.02893,           0.0056519,            0.012108,             0.00571,             0.00571,             0.00571
                  67,            0.029022,            0.010297,            0.018125,             0.51498,             0.67071,             0.57055,             0.31283,            0.030026,           0.0055157,             0.01293,            0.005644,            0.005644,            0.005644
                  68,            0.029505,            0.011663,            0.016695,             0.73323,              0.5798,             0.56047,             0.31388,            0.031191,           0.0054971,            0.013501,            0.005578,            0.005578,            0.005578
                  69,            0.030059,            0.010688,            0.018237,             0.70271,             0.61414,             0.61525,             0.32535,            0.032332,           0.0056497,            0.013101,            0.005512,            0.005512,            0.005512
                  70,             0.02956,            0.012245,            0.016907,             0.53357,             0.75224,             0.54205,             0.30967,            0.029465,           0.0054381,            0.014326,            0.005446,            0.005446,            0.005446
                  71,            0.028971,             0.01098,            0.014077,             0.51394,             0.78369,             0.53022,             0.30021,            0.031358,           0.0054186,            0.015483,             0.00538,             0.00538,             0.00538
                  72,            0.030535,              0.0109,            0.019579,             0.52317,             0.76478,             0.53612,             0.30701,            0.030266,           0.0053531,            0.014244,            0.005314,            0.005314,            0.005314
                  73,            0.028175,            0.011933,            0.017161,             0.48477,             0.89798,             0.53811,             0.32729,            0.030787,           0.0058461,            0.012737,            0.005248,            0.005248,            0.005248
                  74,            0.026624,            0.011493,            0.018711,             0.49258,             0.85249,             0.51865,             0.29708,            0.032061,           0.0060202,            0.012457,            0.005182,            0.005182,            0.005182
                  75,            0.029309,            0.011194,            0.015889,             0.66411,             0.61962,             0.61943,             0.35749,            0.027157,           0.0054435,            0.011596,            0.005116,            0.005116,            0.005116
                  76,            0.027755,            0.010606,            0.016543,             0.69966,              0.6596,             0.65008,             0.37412,            0.027747,           0.0054654,            0.011195,             0.00505,             0.00505,             0.00505
                  77,             0.02879,            0.010211,             0.01587,             0.78879,             0.63636,             0.65243,             0.35033,            0.027646,           0.0056679,            0.011272,            0.004984,            0.004984,            0.004984
                  78,            0.029649,            0.011391,             0.01763,             0.51764,             0.77273,             0.57936,             0.34759,            0.028477,           0.0057354,            0.010804,            0.004918,            0.004918,            0.004918
                  79,            0.029045,            0.011349,            0.015328,             0.57166,             0.81818,             0.59866,             0.36316,             0.02816,           0.0057457,            0.010757,            0.004852,            0.004852,            0.004852
                  80,            0.026894,            0.011673,            0.016745,             0.68372,             0.71117,             0.63697,             0.38819,            0.027112,           0.0054843,            0.012695,            0.004786,            0.004786,            0.004786
                  81,            0.028358,            0.011489,            0.015847,             0.59523,             0.72959,             0.66004,             0.38549,            0.026517,           0.0053644,            0.013997,             0.00472,             0.00472,             0.00472
                  82,             0.02778,            0.011411,            0.016978,             0.67728,              0.6596,             0.66089,             0.37133,            0.028071,           0.0054668,             0.01143,            0.004654,            0.004654,            0.004654
                  83,            0.027184,            0.010624,            0.012142,             0.79692,             0.63636,             0.64047,               0.363,            0.028339,           0.0054589,            0.011435,            0.004588,            0.004588,            0.004588
                  84,            0.026159,            0.010606,            0.013743,             0.63581,             0.68182,             0.61384,             0.37926,            0.028271,           0.0056103,            0.012168,            0.004522,            0.004522,            0.004522
                  85,            0.026806,            0.010055,            0.014934,             0.79691,             0.63388,             0.64415,              0.3879,            0.027986,           0.0053817,            0.011309,            0.004456,            0.004456,            0.004456
                  86,            0.027072,            0.011031,            0.012982,             0.79022,              0.6359,             0.62782,             0.36944,            0.027619,           0.0051804,            0.011625,             0.00439,             0.00439,             0.00439
                  87,            0.027251,            0.010319,            0.012089,             0.60496,             0.72727,             0.65045,             0.38711,             0.02857,           0.0051826,            0.012795,            0.004324,            0.004324,            0.004324
                  88,            0.028471,            0.010907,            0.013659,             0.81799,             0.68182,             0.68823,             0.43967,            0.030305,           0.0051263,            0.011933,            0.004258,            0.004258,            0.004258
                  89,            0.028309,            0.011154,            0.013947,             0.87382,             0.63633,              0.6781,             0.42103,            0.028073,            0.005125,            0.011091,            0.004192,            0.004192,            0.004192
                  90,            0.026106,            0.010374,            0.013296,             0.61312,             0.77273,             0.70127,             0.42084,            0.027627,           0.0052588,            0.010752,            0.004126,            0.004126,            0.004126
                  91,            0.026493,            0.010211,            0.013298,              0.8369,             0.64741,             0.71444,             0.40528,            0.027157,           0.0056341,            0.010178,             0.00406,             0.00406,             0.00406
                  92,            0.028012,            0.011381,            0.012971,             0.68905,             0.77267,             0.73748,             0.44471,            0.028197,           0.0054777,           0.0097583,            0.003994,            0.003994,            0.003994
                  93,             0.02838,            0.010973,            0.011647,             0.74097,             0.71616,              0.7333,             0.42739,            0.028178,            0.005706,           0.0094544,            0.003928,            0.003928,            0.003928
                  94,            0.027311,            0.010703,            0.011146,             0.74914,             0.61051,             0.69245,             0.42179,              0.0296,           0.0055719,            0.010169,            0.003862,            0.003862,            0.003862
                  95,             0.02682,            0.010922,            0.010027,             0.75241,             0.76334,             0.75283,              0.4542,             0.02784,           0.0055563,           0.0087057,            0.003796,            0.003796,            0.003796
                  96,            0.025093,            0.010831,           0.0098933,             0.76145,             0.74215,             0.74878,             0.45957,            0.028471,           0.0054346,           0.0089785,             0.00373,             0.00373,             0.00373
                  97,            0.026902,            0.011477,            0.011444,             0.80354,             0.76141,             0.77023,             0.46809,            0.027745,           0.0055579,           0.0089449,            0.003664,            0.003664,            0.003664
